ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	116.45414286424436	116.45414286424436	116.45414286424436	116.45414286424436
1	115.27286601682742	115.26936270221724	115.85816670922632	116.44697071623573
2	114.68953175800645	114.19135285362258	115.3442549885711	116.4470944506563
3	114.31340041611006	113.12827213097033	114.84619084302851	116.44736204331552
4	113.97882711320669	112.04120123858699	114.35399107770112	116.44903038256419
5	113.74803329250226	110.99242549756723	113.90432320160843	116.45318399732379
6	113.73809161126466	110.07600536757184	113.50417291124208	116.45431714361432
7	113.6130741017152	109.22120910280012	113.13080150234094	116.45692385015039
8	113.29573224644427	108.24887946624507	112.73983892176032	116.46363846756091
9	113.25350689313895	107.39515976377773	112.39208210360115	116.46451455397836
10	113.08201325916286	106.52919104605755	112.049321108824	116.46893824541912
11	113.07710242866868	105.79441041696862	111.76422333705409	116.47128411264862
12	112.9287121985116	105.0437632646702	111.49332993314832	116.47425626072545
13	112.87235129327401	104.33627441131965	111.23884918626342	116.47843899435986
14	112.8343203120759	103.7980813536901	111.02189171426942	116.47861555868786
15	112.83618325820153	103.2436730431913	110.82998799187989	116.48445734384066
16	112.75444423570991	102.72292808778435	110.63352205422763	116.48558331323267
17	112.67849793315453	102.21249645521328	110.4594027640474	116.4873285318442
18	112.64947705664353	101.8058842335427	110.31582758911013	116.48840791401351
19	112.63705014793004	101.49368825844905	110.20076015529663	116.49150259636158
20	112.59770475762409	101.31530791925428	110.12422110333777	116.49702260927285
21	112.61974841827151	101.02524448962967	110.02314867250027	116.49921709369377
22	112.57639783695923	100.84891114557807	109.95509114464538	116.50169731269347
23	112.63810247066166	100.74001728181226	109.9229405568955	116.50453994925162
24	112.59833181033561	100.61683304623057	109.8983132152765	116.5088650918193
25	112.60159591188112	100.66321790422877	109.91003442124682	116.51131788270816
26	112.64389754854552	100.63106482095698	109.90831114728242	116.51208255857138
27	112.79500885052471	100.7701786026494	109.95551151105066	116.51611301218475
28	112.63932066158151	100.73577645885844	109.97613379873314	116.51612844107734
29	112.67833669057069	100.79966107249014	110.01786194754621	116.51943623508161
30	112.74126959023576	100.97707012943918	110.08219966906287	116.52119318344094
31	112.68820597922428	101.07874374407885	110.13738978888118	116.52516840802049
32	112.71085673111268	101.2795153271917	110.20989139544687	116.52853208600372
33	112.83654593952065	101.55342707093777	110.30590943799584	116.53099323516761
34	112.76183349088362	101.72373550041718	110.37345462624748	116.53651009500388
35	112.86620905524171	102.02791652363923	110.47845517749927	116.53863114263115
36	112.8514136315369	102.23861750111834	110.5685806662158	116.54004206576838
37	112.94615523463297	102.45688253647218	110.66823880828153	116.5426652236808
38	112.9633993293987	102.64464759324751	110.76167133479836	116.5460235044382
39	112.96367257257785	102.89941711401578	110.85616749833515	116.54737580997184
40	113.09783365061722	103.25933226077444	110.9880127814988	116.5530914292749
41	113.25483976867335	103.59689264154399	111.11201601395652	116.55315182296296
42	113.06140605765195	103.73849709087533	111.19352219705773	116.55714388165359
