ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	116.45414286424436	116.45414286424436	116.45414286424436	116.45414286424436
1	115.30848267025722	115.2866711067814	115.87582987224867	116.46498863771633
2	114.76146126006498	114.22482592064891	115.38206718921262	116.49006072111293
3	114.41861136687645	113.18080443873423	114.90423137250013	116.5129501957897
4	114.05825803277884	112.06031608169808	114.4042558822979	116.53124299306815
5	113.89114524574335	111.03017674215722	113.97724328072638	116.56182422071191
6	113.92523394901467	110.13098774847197	113.59570165344167	116.58451098918755
7	113.80706812730475	109.28987522827762	113.23452525717092	116.60111660343999
8	113.55423671989513	108.35978833096026	112.86553989705514	116.62399030333806
9	113.41342105499639	107.48897519667999	112.50846904044201	116.64583225923671
10	113.27918675209195	106.65078824748346	112.17582580662429	116.66963634502207
11	113.24155741088627	105.87810386739106	111.88898276875628	116.68811711258634
12	113.24946576964898	105.23294245136182	111.63344482859618	116.70855659327196
13	113.13322978283217	104.536366117582	111.38330224411095	116.7269450049456
14	113.11315850841366	103.97275405917924	111.18556527319947	116.75443105241268
15	112.99055387694887	103.36204966788682	110.97144534795369	116.77094802792622
16	112.97006652434128	102.88072709239242	110.79625756186351	116.78747482115001
17	112.97306543874772	102.42636713941084	110.65124981341879	116.81137981915907
18	112.91243768482474	101.9901237918364	110.50993746277892	116.83029000145304
19	112.88358811864748	101.59139208262438	110.37272212719444	116.84897841981486
20	113.00892257219427	101.36488960784098	110.31050487765899	116.86760767590265
21	112.8587543520775	101.05916562401981	110.21253809657416	116.88568238369305
22	113.0131697536944	100.90078116637088	110.1708896748396	116.9044805757449
23	112.94402036293467	100.75462571362685	110.12901857619961	116.92374856491192
24	112.95162106445271	100.6634514516026	110.11403575199381	116.94236087142936
25	112.93195058372889	100.62024388153444	110.12284685763365	116.95906018043132
26	113.01752388079073	100.6837212299458	110.14617309931118	116.97755411961215
27	113.27573425149826	100.88209875523107	110.21125350853879	116.99973016634674
28	113.18484918389534	100.9240121388151	110.24465409543379	117.01969006813212
29	113.15656108613855	100.9582270067609	110.293628859032	117.0334346367198
30	113.26739748032867	101.04437466789238	110.34532400431786	117.048670410539
31	113.31555879500064	101.2511707486704	110.43113451388675	117.0645826888989
32	113.3296191113553	101.43715104255224	110.51566289210092	117.08412894310932
33	113.42289624920726	101.71732581804446	110.62763019295745	117.09936493249674
34	113.3405357570664	101.84281454425145	110.70876355702292	117.11602568555433
35	113.32360308232867	102.11564237285177	110.80279662996827	117.13397540340476
36	113.49583090864168	102.40505511306324	110.93548016078894	117.15605975130717
37	113.4663159048539	102.64161035468092	111.04930779203042	117.17633392016938
38	113.50695755274961	102.88112968233644	111.15627415743936	117.19695505665051
39	113.5719567803218	103.13900993898774	111.27303886207706	117.21433333234855
40	113.65921999172957	103.50809457194266	111.40370869477852	117.22880836713676
41	113.78891047196518	103.83250245424944	111.53364921832468	117.24753402159885
42	113.78008484098291	104.15594096124254	111.6621330670581	117.26546417257921
43	113.91818973291181	104.55804442483165	111.8094755060229	117.28217515995934
44	113.89823523826207	104.80901090469396	111.91853362239463	117.29997444060723
45	113.97008518090347	105.14160920973403	112.04490299021838	117.31537719194193
46	113.98880704039466	105.42899565025336	112.14964714248849	117.32822953766468
47	114.0542706338358	105.65403785141311	112.25272230303622	117.34935230675595
48	114.12798448659649	105.95427096402246	112.36415353549576	117.36185584273245
49	114.14623118183557	106.1782530468063	112.47361982092114	117.37736871000237
50	114.13383097181838	106.37704977636992	112.5758189167521	117.39777251404271
51	114.30401384879555	106.75601832188278	112.70833957946681	117.4135537090182
52	114.2312084974873	106.91130800088446	112.79925294155088	117.43171862097861
53	114.27852788423449	107.21977280696156	112.9107819332365	117.4470312265453
54	114.41127181809196	107.53636864266336	113.02513598970513	117.46162101330304
55	114.42580699128962	107.69437958608803	113.10998024068293	117.47805040811133
56	114.428905148551	107.90451209647547	113.20275040447056	117.49794536810079
